2	416930.767751897	414024.531459461	424119.763635764	418941.563943822
4	582090.457072094	580609.676417625	602865.442126358	594910.962851040
6	740734.809143896	738805.148605877	769138.329456096	762508.435202345
8	863809.700205775	861404.418202603	896481.723735976	890856.694835607
10	955115.692104535	953423.771371937	987034.553394596	983806.004325484
12	1198349.11965910	979231.890657466	1012161.01286057	1012262.04118988
14	1296351.92459817	1240880.12948482	NaN	1283493.44702200
16	1399669.78302927	1237949.54924137	NaN	1308767.85749514
18	NaN	NaN	NaN	NaN
20	NaN	NaN	NaN	NaN
