10	941639.569064182	942275.049555892	968662.389733911	970189.813901504
20	921098.146503455	918982.027587952	946903.194231730	946306.413454830
30	957317.365559223	953500.930680601	984782.645135119	981948.143215685
40	973511.077952858	971246.623857219	998494.349805745	995353.031929940
50	937282.561247818	936631.676331529	960486.444232917	957581.333294932
60	943017.864366198	939421.418632904	969996.957895276	968906.103442944
70	930495.383201739	929196.431725837	954232.803003519	951911.591146292
80	950337.469735223	947320.802964011	987562.596371243	978566.352823966
90	964728.932048601	961526.357795889	1000027.84582473	993149.604414289
100	925953.843751902	923360.458297369	961291.203591171	954630.863190149
