10	NaN	NaN	NaN	NaN
20	NaN	NaN	NaN	NaN
30	NaN	NaN	NaN	NaN
40	849964.979222467	848714.915932697	876369.083653621	876435.936758396
50	943412.824849892	942411.205137800	969826.582554051	967580.376238265
60	1008272.17852555	1006154.72189731	1046619.13666464	1038041.62281362
70	1037905.14135951	1034920.96583383	1073936.11643716	1065675.90862329
80	1079300.68604029	1076736.14270581	1120846.91838560	1108531.82206724
90	1071095.98768460	1067911.38928233	1115807.51749609	1104231.95713524
100	1095973.73293600	1092807.67854304	1151398.43935540	1130438.46522472
